Cus_ID,FullName,EmailAddress,Requested_Amount,Emi_Amount,Age,Postal_Code,Applicant_State_Desc,Applicant_City_Desc,Resid_Owned_By_Desc,No_Of_Years_At_Residence,Employment_Type_Desc,Duration_Of_Current_Emp,Years_In_Current_Business,Total_Work_Experience,Car_Register,Product_Name1,Product_Line,Loan_Term,Variant_Code,Manufacturer_Desc,Employment_Type_Desc,application_creation_date,Ex_Showroom_Price,Segment,Segment_Desc,Cost_Of_Vehicle,Average_Bank_Balance,Bureau_score,IRR,insurance_Code
1,James,James1@gmail.com,200000,5750,40.5,10600,Thonburi,Bnagkok,SELF,,SALARIED,5,,5,กมง 8682,CHEVROLET SPARK,CHEVROLET SPARK LT 1.0 BS-IV OBDII,48,LT 1.0 BS-IV OBDII,CHEVROLET INDIA  LTD,SALARIED,4/17/2015,,A2,Compact,237342,,594,24.7,101401
2,Charles,Charles1@gmail.com,1900000,,41.25,10240,bangkapi,Bnagkok,SELF,,RETIRED,,,,กมง 8688,FORTUNER 4 WD,TOYOTA - FORTUNER 4 WD,48,FORTUNER 4 WD,TOYOTA,RETIRED,4/23/2014,,SUV,SUV,2400000,,754,24.7,100602
3,George,George1@gmail.com,1600000,,39.5,10240,bangkapi,Bnagkok,SELF,,RETIRED,,,,กม6532,,TOYOTA - FORTUNER 3.0 L,48,FORTUNER 3.0 L,TOYOTA,RETIRED,4/25/2014,,SUV,SUV,2200000,,779,16.5,100602
4,Frank,Frank1@gmail.com,300000,9050,35,10240,bangkapi,Bnagkok,SELF,7,SALARIED,16,,16,กม4265,NISSAN MICRA,NISSAN MICRA,48,NISSAN MICRA XL,NISSAN,SALARIED,1/2/2013,365750,A2,Compact,365750,,818,18.1,100602
5,Joseph,Joseph1@gmail.com,250000,8750,34,10240,bangkapi,Bnagkok,SELF,2,SELF EMPLOYED NON-PROFESSIONAL,,3,,กม7067,XYLO E8,XYLO E8,36,XYLO E8,MAHINDRA,SELF EMPLOYED NON-PROFESSIONAL,1/12/2013,548750,MUV,MUV,548750,,853,17.69,100602
6,Thomas,Thomas1@gmail.com,150000,5127,33,10240,bangkapi,Bnagkok,SELF,25,SELF EMPLOYED NON-PROFESSIONAL,,6,,กม10060,FORD FIGO,FORD FIGO,36,FORD FIGO 1.4 LXI,FORD INDIA,SELF EMPLOYED NON-PROFESSIONAL,1/17/2013,329250,A2,Compact,329250,,777,14.66,100602
7,Henry,Henry1@gmail.com,430000,14592,45,10240,bangkapi,Bnagkok,SELF,40,SELF EMPLOYED PROFESSIONAL,,15,,กม12815,MARUTI SWIFT,MARUTI SWIFT,36,SWIFT DZIRE LDI,MARUTI,SELF EMPLOYED PROFESSIONAL,1/21/2013,482750,A3,Mid-Size,482750,,817,13.86,100602
8,Robert,Robert1@gmail.com,405000,13842,46,10240,bangkapi,Bnagkok,SELF,9,SELF EMPLOYED NON-PROFESSIONAL,,10,,กม11055,MARUTI RITZ,MARUTI RITZ,36,RITZLDI,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,1/23/2013,461500,A2,Compact,461500,,789,14.37,100602
9,Edward,Edward1@gmail.com,276000,9567,34,10240,bangkapi,Bnagkok,SELF,10,SELF EMPLOYED NON-PROFESSIONAL,,5,,กม10777,HYUNDAI VERNA,HYUNDAI VERNA,36,VERNA CRDI SX,HYUNDAI,SELF EMPLOYED NON-PROFESSIONAL,1/31/2013,437250,A3,Mid-Size,437250,,828,14.54,100602
10,Harry,Harry1@gmail.com,234000,7997,34,10240,bangkapi,Bnagkok,SELF,25,SELF EMPLOYED NON-PROFESSIONAL,,5,,กม12420,ALTO LXI,MARUTI ALTO LXI,36,ALTO LXI,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,2/12/2013,167737,A2,Compact,167737,,837,14.14,100602
11,Walter,Walter1@gmail.com,610000,20847,36,10240,bangkapi,Bnagkok,PARENTS,10,SELF EMPLOYED NON-PROFESSIONAL,,15,,กม13143,HYUNDAI VERNA,HYUNDAI VERNA,36,HYUNDAI VERNA XXI,HYUNDAI,SELF EMPLOYED NON-PROFESSIONAL,2/13/2013,868500,A3,Mid-Size,1737000,,738,14.03,100602
13,Arthur,Arthur1@gmail.com,200000,,37,10240,bangkapi,Bnagkok,,,SELF EMPLOYED NON-PROFESSIONAL,,,,กม15814,HYUNDAI I 10,HYUNDAI I 10,36,I-10,HYUNDAI,SELF EMPLOYED NON-PROFESSIONAL,2/16/2013,,,,243250,,-1,16.2,100602
14,Fred,Fred1@gmail.com,300000,11160,58,10240,bangkapi,Bnagkok,SELF,10,SELF EMPLOYED NON-PROFESSIONAL,,30,,กม5913,MARUTI SWIFT,MARUTI SWIFT,36,SWIFT VDI,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,2/14/2013,345750,A2,Compact,345750,,788,14.1,100602
15,Albert,Albert1@gmail.com,292000,9980,47,10240,bangkapi,Bnagkok,SELF,15,SELF EMPLOYED NON-PROFESSIONAL,,15,,กม6814,SKODA FABIA,SKODA FABIA,36,FABIA AMB 1.2,SKODA,SELF EMPLOYED NON-PROFESSIONAL,2/23/2013,356000,A3,Mid-Size,356000,,518,17.3,100602
16,Samuel,Samuel1@gmail.com,437500,14952,38,10240,bangkapi,Bnagkok,SELF,7,SELF EMPLOYED NON-PROFESSIONAL,,10,,กม7752,HYUNDAI - ACCENT,HYUNDAI - ACCENT,36,ACCENT EXECUTIVE,HYUNDAI,SELF EMPLOYED NON-PROFESSIONAL,2/26/2013,312500,A3,Mid-Size,312500,,793,22.5,100602
17,David,David1@gmail.com,1260000,43065,63,10240,bangkapi,Bnagkok,SELF,20,SELF EMPLOYED NON-PROFESSIONAL,,5,,กม6747,CHEVROLET CRUZE,CHEVROLET CRUZE,36,CHEVROLET CRUZE,CHEVROLET INDIA LTD,SELF EMPLOYED NON-PROFESSIONAL,2/27/2013,1100000,A4,Executive,1100000,,-1,14.61,100602
18,Louis,Louis1@gmail.com,1240000,42380,38,10240,bangkapi,Bnagkok,SELF,20,SELF EMPLOYED NON-PROFESSIONAL,,12,,กฒ8688,SKODA YETI,SKODA YETI,36,SKODA YETI,SKODA,SELF EMPLOYED NON-PROFESSIONAL,2/27/2013,1150000,SUV,SUV,1150000,,806,14.06,100602
19,Joe,Joe1@gmail.com,220000,10780,57,10240,bangkapi,Bnagkok,SELF,6,SELF EMPLOYED NON-PROFESSIONAL,,16,,กฒ6532,MARUTI ALTO,MARUTI ALTO,36,ALTO LX,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,3/5/2013,170000,A2,Compact,170000,,826,13.89,100602
